date,city,precipitation,month,year
2020-06-08,NYC,0.0,6,2020
2020-06-09,NYC,0.0,6,2020
2020-06-10,NYC,0.0,6,2020
2020-06-11,NYC,0.02,6,2020
2020-06-12,NYC,0.0,6,2020
2020-06-13,NYC,0.0,6,2020
2020-06-14,NYC,0.0,6,2020
2020-06-15,NYC,0.0,6,2020
2020-06-16,NYC,0.0,6,2020
2020-06-17,NYC,0.0,6,2020
2020-06-18,NYC,0.0,6,2020
2020-06-19,NYC,0.0,6,2020
2020-06-20,NYC,0.0,6,2020
2020-06-21,NYC,0.0,6,2020
2020-06-22,NYC,0.0,6,2020
2020-06-23,NYC,0.0,6,2020
2020-06-24,NYC,0.0,6,2020
2020-06-25,NYC,0.0,6,2020
2020-06-26,NYC,0.0,6,2020
2020-06-27,NYC,0.25,6,2020
2020-06-28,NYC,0.2,6,2020
2020-06-29,NYC,0.15,6,2020
2020-06-30,NYC,0.0,6,2020
2020-07-01,NYC,0.0,7,2020
2020-07-02,NYC,0.02,7,2020
2020-07-03,NYC,0.0,7,2020
2020-07-04,NYC,0.0,7,2020
2020-07-05,NYC,0.0,7,2020
2020-07-06,NYC,0.0,7,2020
2020-07-07,NYC,0.0,7,2020
2020-07-08,NYC,0.01,7,2020
2020-07-09,NYC,1.45,7,2020
2020-07-10,NYC,0.0,7,2020
2020-07-11,NYC,1.25,7,2020
2020-07-12,NYC,0.21,7,2020
2020-07-13,NYC,0.08,7,2020
2020-07-14,NYC,0.0,7,2020
2020-07-15,NYC,0.0,7,2020
2020-07-16,NYC,0.0,7,2020
2020-07-17,NYC,0.02,7,2020
2020-07-18,NYC,0.18,7,2020
2020-07-19,NYC,0.0,7,2020
2020-07-20,NYC,0.0,7,2020
2020-07-21,NYC,0.0,7,2020
2020-07-22,NYC,0.36,7,2020
2020-07-23,NYC,0.85,7,2020
2020-07-24,NYC,0.01,7,2020
2020-07-25,NYC,0.39,7,2020
2020-07-26,NYC,0.0,7,2020
2020-07-27,NYC,0.0,7,2020
2020-07-28,NYC,0.0,7,2020
2020-07-29,NYC,0.0,7,2020
2020-07-30,NYC,0.0,7,2020
2020-07-31,NYC,0.53,7,2020
2020-08-01,NYC,0.0,8,2020
2020-08-02,NYC,0.0,8,2020
2020-08-03,NYC,0.0,8,2020
2020-08-04,NYC,0.31,8,2020
2020-08-05,NYC,0.0,8,2020
2020-08-06,NYC,0.0,8,2020
2020-08-07,NYC,0.07,8,2020
2020-08-08,NYC,0.04,8,2020
2020-08-09,NYC,0.0,8,2020
2020-08-10,NYC,0.0,8,2020
2020-08-11,NYC,0.0,8,2020
2020-08-12,NYC,0.04,8,2020
2020-08-13,NYC,0.01,8,2020
2020-08-14,NYC,0.0,8,2020
2020-08-15,NYC,0.0,8,2020
2020-08-16,NYC,0.01,8,2020
2020-08-17,NYC,0.32,8,2020
2020-08-18,NYC,0.78,8,2020
2020-08-19,NYC,0.5,8,2020
2020-08-20,NYC,0.27,8,2020
2020-08-21,NYC,0.0,8,2020
2020-08-22,NYC,0.0,8,2020
2020-08-23,NYC,0.09,8,2020
2020-08-24,NYC,0.0,8,2020
2020-08-25,NYC,0.0,8,2020
2020-08-26,NYC,0.0,8,2020
2020-08-27,NYC,0.08,8,2020
2020-08-28,NYC,0.34,8,2020
2020-08-29,NYC,0.11,8,2020
2020-08-30,NYC,0.02,8,2020
2020-08-31,NYC,0.0,8,2020
2020-09-01,NYC,0.3,9,2020
2020-09-02,NYC,0.26,9,2020
2020-09-03,NYC,0.09,9,2020
2020-09-04,NYC,0.0,9,2020
2020-09-05,NYC,0.0,9,2020
2020-09-06,NYC,0.0,9,2020
2020-09-07,NYC,0.0,9,2020
2020-09-08,NYC,0.0,9,2020
2020-09-09,NYC,0.0,9,2020
2020-09-10,NYC,0.96,9,2020
2020-09-11,NYC,1.12,9,2020
2020-09-12,NYC,,9,2020
2020-09-13,NYC,0.0,9,2020
2020-09-14,NYC,0.0,9,2020
2020-09-15,NYC,0.0,9,2020
2020-09-16,NYC,0.0,9,2020
2020-09-17,NYC,0.0,9,2020
2020-09-18,NYC,0.04,9,2020
2020-09-19,NYC,0.0,9,2020
2020-09-20,NYC,0.0,9,2020
2020-09-21,NYC,0.0,9,2020
2020-09-22,NYC,0.0,9,2020
2020-09-23,NYC,0.0,9,2020
2020-09-24,NYC,0.0,9,2020
2020-09-25,NYC,0.0,9,2020
2020-09-26,NYC,0.0,9,2020
2020-09-27,NYC,0.0,9,2020
2020-09-28,NYC,0.11,9,2020
2020-09-29,NYC,0.0,9,2020
2020-09-30,NYC,0.9,9,2020
2020-10-01,NYC,0.0,10,2020
2020-10-02,NYC,0.0,10,2020
2020-10-03,NYC,0.0,10,2020
2020-10-04,NYC,0.0,10,2020
2020-10-05,NYC,0.0,10,2020
2020-10-06,NYC,0.0,10,2020
2020-10-07,NYC,0.0,10,2020
2020-10-08,NYC,0.04,10,2020
2020-10-09,NYC,0.0,10,2020
2020-10-10,NYC,0.0,10,2020
2020-10-11,NYC,0.0,10,2020
2020-10-12,NYC,,10,2020
2020-10-13,NYC,1.16,10,2020
2020-10-14,NYC,0.06,10,2020
2020-10-15,NYC,0.0,10,2020
2020-10-16,NYC,0.0,10,2020
2020-10-17,NYC,2.03,10,2020
2020-10-18,NYC,0.0,10,2020
2020-10-19,NYC,0.0,10,2020
2020-10-20,NYC,0.0,10,2020
2020-10-21,NYC,0.02,10,2020
2020-10-22,NYC,0.0,10,2020
2020-10-23,NYC,0.0,10,2020
2020-10-24,NYC,0.01,10,2020
2020-10-25,NYC,0.0,10,2020
2020-10-26,NYC,0.11,10,2020
2020-10-27,NYC,0.06,10,2020
2020-10-28,NYC,0.09,10,2020
2020-10-29,NYC,0.18,10,2020
2020-10-30,NYC,1.8,10,2020
2020-10-31,NYC,0.31,10,2020
2020-11-01,NYC,0.4,11,2020
2020-11-02,NYC,0.63,11,2020
2020-11-03,NYC,0.0,11,2020
2020-11-04,NYC,0.0,11,2020
2020-11-05,NYC,0.0,11,2020
2020-11-06,NYC,0.0,11,2020
2020-11-07,NYC,0.0,11,2020
2020-11-08,NYC,0.0,11,2020
2020-11-09,NYC,0.0,11,2020
2020-11-10,NYC,0.0,11,2020
2020-11-11,NYC,0.0,11,2020
2020-11-12,NYC,0.29,11,2020
2020-11-13,NYC,0.15,11,2020
2020-11-14,NYC,0.16,11,2020
2020-11-15,NYC,0.0,11,2020
2020-11-16,NYC,0.35,11,2020
2020-11-17,NYC,0.0,11,2020
2020-11-18,NYC,0.0,11,2020
2020-11-19,NYC,0.0,11,2020
2020-11-20,NYC,0.0,11,2020
2020-11-21,NYC,0.0,11,2020
2020-11-22,NYC,0.0,11,2020
2020-11-23,NYC,0.54,11,2020
2020-11-24,NYC,0.13,11,2020
2020-11-25,NYC,0.0,11,2020
2020-11-26,NYC,0.65,11,2020
2020-11-27,NYC,0.0,11,2020
2020-11-28,NYC,0.01,11,2020
2020-11-29,NYC,0.0,11,2020
2020-11-30,NYC,0.02,11,2020
2020-12-01,NYC,1.27,12,2020
2020-12-02,NYC,0.0,12,2020
2020-12-03,NYC,0.0,12,2020
2020-12-04,NYC,0.1,12,2020
2020-12-05,NYC,0.98,12,2020
2020-12-06,NYC,0.0,12,2020
2020-12-07,NYC,0.0,12,2020
2020-12-08,NYC,0.0,12,2020
2020-12-09,NYC,0.0,12,2020
2020-12-10,NYC,0.0,12,2020
2020-12-11,NYC,0.0,12,2020
2020-12-12,NYC,0.0,12,2020
2020-12-13,NYC,0.0,12,2020
2020-12-14,NYC,0.08,12,2020
2020-12-15,NYC,0.24,12,2020
2020-12-16,NYC,0.0,12,2020
2020-12-17,NYC,0.65,12,2020
2020-12-18,NYC,0.03,12,2020
2020-12-19,NYC,0.0,12,2020
2020-12-20,NYC,0.0,12,2020
2020-12-21,NYC,0.04,12,2020
2020-12-22,NYC,0.0,12,2020
2020-12-23,NYC,0.0,12,2020
2020-12-24,NYC,0.0,12,2020
2020-12-25,NYC,0.61,12,2020
2020-12-26,NYC,0.02,12,2020
2020-12-27,NYC,0.0,12,2020
2020-12-28,NYC,0.0,12,2020
2020-12-29,NYC,0.0,12,2020
2020-12-30,NYC,0.0,12,2020
2020-12-31,NYC,0.17,12,2020
2021-01-01,NYC,0.44,1,2021
2021-01-02,NYC,0.4,1,2021
2021-01-03,NYC,0.04,1,2021
2021-01-04,NYC,0.19,1,2021
2021-01-05,NYC,0.0,1,2021
2021-01-06,NYC,0.0,1,2021
2021-01-07,NYC,0.0,1,2021
2021-01-08,NYC,0.0,1,2021
2021-01-09,NYC,0.0,1,2021
2021-01-10,NYC,0.0,1,2021
2021-01-11,NYC,0.0,1,2021
2021-01-12,NYC,0.0,1,2021
2021-01-13,NYC,0.0,1,2021
2021-01-14,NYC,0.0,1,2021
2021-01-15,NYC,0.0,1,2021
2021-01-16,NYC,1.51,1,2021
2021-01-17,NYC,0.0,1,2021
2021-01-18,NYC,0.0,1,2021
2021-01-19,NYC,0.0,1,2021
2021-01-20,NYC,0.0,1,2021
2021-01-21,NYC,0.0,1,2021
2021-01-22,NYC,0.0,1,2021
2021-01-23,NYC,0.0,1,2021
2021-01-24,NYC,0.0,1,2021
2021-01-25,NYC,0.0,1,2021
2021-01-26,NYC,0.0,1,2021
2021-01-27,NYC,0.24,1,2021
2021-01-28,NYC,0.0,1,2021
2021-01-29,NYC,0.0,1,2021
2021-01-30,NYC,0.0,1,2021
2021-01-31,NYC,0.0,1,2021
2021-02-01,NYC,,2,2021
2021-02-02,NYC,1.67,2,2021
2021-02-03,NYC,0.19,2,2021
2021-02-04,NYC,0.0,2,2021
2021-02-05,NYC,0.0,2,2021
2021-02-06,NYC,0.0,2,2021
2021-02-07,NYC,0.0,2,2021
2021-02-08,NYC,0.67,2,2021
2021-02-09,NYC,0.0,2,2021
2021-02-10,NYC,0.05,2,2021
2021-02-11,NYC,,2,2021
2021-02-12,NYC,0.0,2,2021
2021-02-13,NYC,0.0,2,2021
2021-02-14,NYC,0.0,2,2021
2021-02-15,NYC,0.02,2,2021
2021-02-16,NYC,0.74,2,2021
2021-02-17,NYC,0.0,2,2021
2021-02-18,NYC,0.02,2,2021
2021-02-19,NYC,0.65,2,2021
2021-02-20,NYC,0.07,2,2021
2021-02-21,NYC,0.0,2,2021
2021-02-22,NYC,0.0,2,2021
2021-02-23,NYC,0.47,2,2021
2021-02-24,NYC,0.0,2,2021
2021-02-25,NYC,0.0,2,2021
2021-02-26,NYC,0.0,2,2021
2021-02-27,NYC,0.26,2,2021
2021-02-28,NYC,0.44,2,2021
2021-03-01,NYC,0.46,3,2021
2021-03-02,NYC,0.0,3,2021
2021-03-03,NYC,0.0,3,2021
2021-03-04,NYC,0.0,3,2021
2021-03-05,NYC,0.0,3,2021
2021-03-06,NYC,0.0,3,2021
2021-03-07,NYC,0.0,3,2021
2021-03-08,NYC,0.0,3,2021
2021-03-09,NYC,0.0,3,2021
2021-03-10,NYC,0.0,3,2021
2021-03-11,NYC,0.0,3,2021
2021-03-12,NYC,0.0,3,2021
2021-03-13,NYC,0.0,3,2021
2021-03-14,NYC,0.0,3,2021
2021-03-15,NYC,0.0,3,2021
2021-03-16,NYC,0.0,3,2021
2021-03-17,NYC,0.0,3,2021
2021-03-18,NYC,0.0,3,2021
2021-03-19,NYC,0.08,3,2021
2021-03-20,NYC,0.0,3,2021
2021-03-21,NYC,0.0,3,2021
2021-03-22,NYC,0.0,3,2021
2021-03-23,NYC,0.0,3,2021
2021-03-24,NYC,1.27,3,2021
2021-03-25,NYC,0.71,3,2021
2021-03-26,NYC,0.03,3,2021
2021-03-27,NYC,0.0,3,2021
2021-03-28,NYC,0.0,3,2021
2021-03-29,NYC,0.92,3,2021
2021-03-30,NYC,0.0,3,2021
2021-03-31,NYC,0.0,3,2021
2021-04-01,NYC,0.76,4,2021
2021-04-02,NYC,0.05,4,2021
2021-04-03,NYC,0.0,4,2021
2021-04-04,NYC,0.0,4,2021
2021-04-05,NYC,0.0,4,2021
2021-04-06,NYC,0.0,4,2021
2021-04-07,NYC,0.0,4,2021
2021-04-08,NYC,0.0,4,2021
2021-04-09,NYC,0.0,4,2021
2021-04-10,NYC,0.0,4,2021
2021-04-11,NYC,0.0,4,2021
2021-04-12,NYC,0.5,4,2021
2021-04-13,NYC,0.53,4,2021
2021-04-14,NYC,0.0,4,2021
2021-04-15,NYC,0.0,4,2021
2021-04-16,NYC,1.21,4,2021
2021-04-17,NYC,0.12,4,2021
2021-04-18,NYC,0.0,4,2021
2021-04-19,NYC,0.0,4,2021
2021-04-20,NYC,0.05,4,2021
2021-04-21,NYC,0.0,4,2021
2021-04-22,NYC,0.0,4,2021
2021-04-23,NYC,0.01,4,2021
2021-04-24,NYC,0.0,4,2021
2021-04-25,NYC,0.37,4,2021
2021-04-26,NYC,0.12,4,2021
2021-04-27,NYC,0.0,4,2021
2021-04-28,NYC,0.0,4,2021
2021-04-29,NYC,0.1,4,2021
2021-04-30,NYC,0.04,4,2021
2021-05-01,NYC,0.0,5,2021
2021-05-02,NYC,0.0,5,2021
2021-05-03,NYC,0.0,5,2021
2021-05-04,NYC,1.03,5,2021
2021-05-05,NYC,0.18,5,2021
2021-05-06,NYC,0.0,5,2021
2021-05-07,NYC,0.0,5,2021
2021-05-08,NYC,0.04,5,2021
2021-05-09,NYC,0.08,5,2021
2021-05-10,NYC,0.45,5,2021
2021-05-11,NYC,0.0,5,2021
2021-05-12,NYC,0.0,5,2021
2021-05-13,NYC,0.0,5,2021
2021-05-14,NYC,0.0,5,2021
2021-05-15,NYC,0.0,5,2021
2021-05-16,NYC,0.0,5,2021
2021-05-17,NYC,0.0,5,2021
2021-05-18,NYC,0.0,5,2021
2021-05-19,NYC,0.0,5,2021
2021-05-20,NYC,0.0,5,2021
2021-05-21,NYC,0.0,5,2021
2021-05-22,NYC,0.0,5,2021
2021-05-23,NYC,0.0,5,2021
2021-05-24,NYC,0.0,5,2021
2021-05-25,NYC,0.0,5,2021
2021-05-26,NYC,0.0,5,2021
2021-05-27,NYC,0.13,5,2021
2021-05-28,NYC,0.0,5,2021
2021-05-29,NYC,0.86,5,2021
2021-05-30,NYC,0.54,5,2021
2021-05-31,NYC,0.75,5,2021
2021-06-01,NYC,0.0,6,2021
2021-06-02,NYC,0.0,6,2021
2021-06-03,NYC,0.2,6,2021
2021-06-04,NYC,0.73,6,2021
2021-06-05,NYC,0.37,6,2021
2021-06-06,NYC,0.0,6,2021
2021-06-07,NYC,0.0,6,2021
2021-06-08,NYC,0.25,6,2021
2021-06-09,NYC,0.34,6,2021
2021-06-10,NYC,0.0,6,2021
2021-06-11,NYC,0.0,6,2021
2021-06-12,NYC,0.0,6,2021
2021-06-13,NYC,0.0,6,2021
2021-06-14,NYC,0.08,6,2021
2021-06-15,NYC,0.02,6,2021
2021-06-16,NYC,0.0,6,2021
2021-06-17,NYC,0.0,6,2021
2021-06-18,NYC,0.0,6,2021
2021-06-19,NYC,0.06,6,2021
2021-06-20,NYC,0.0,6,2021
2021-06-21,NYC,0.0,6,2021
2021-06-22,NYC,0.0,6,2021
2021-06-23,NYC,0.26,6,2021
2021-06-24,NYC,0.0,6,2021
2021-06-25,NYC,0.0,6,2021
2021-06-26,NYC,0.0,6,2021
2021-06-27,NYC,0.0,6,2021
2021-06-28,NYC,0.0,6,2021
2021-06-29,NYC,0.0,6,2021
2021-06-30,NYC,0.0,6,2021
2021-07-01,NYC,0.25,7,2021
2021-07-02,NYC,0.95,7,2021
2021-07-03,NYC,0.31,7,2021
2021-07-04,NYC,0.03,7,2021
2021-07-05,NYC,0.04,7,2021
2021-07-06,NYC,0.55,7,2021
2021-07-07,NYC,0.61,7,2021
2021-07-08,NYC,0.0,7,2021
2021-07-09,NYC,2.66,7,2021
2021-07-10,NYC,0.25,7,2021
2021-07-11,NYC,0.0,7,2021
2021-07-12,NYC,0.15,7,2021
2021-07-13,NYC,0.22,7,2021
2021-07-14,NYC,0.0,7,2021
2021-07-15,NYC,0.0,7,2021
2021-07-16,NYC,0.0,7,2021
2021-07-17,NYC,0.0,7,2021
2021-07-18,NYC,0.0,7,2021
2021-07-19,NYC,0.01,7,2021
2021-07-20,NYC,0.0,7,2021
2021-07-21,NYC,0.03,7,2021
2021-07-22,NYC,0.2,7,2021
2021-07-23,NYC,0.0,7,2021
2021-07-24,NYC,0.0,7,2021
2021-07-25,NYC,0.25,7,2021
2021-07-26,NYC,1.96,7,2021
2021-07-27,NYC,0.0,7,2021
2021-07-28,NYC,0.16,7,2021
2021-07-29,NYC,0.0,7,2021
2021-07-30,NYC,0.0,7,2021
2021-07-31,NYC,0.0,7,2021
2021-08-01,NYC,0.0,8,2021
2021-08-02,NYC,0.0,8,2021
2021-08-03,NYC,0.0,8,2021
2021-08-04,NYC,0.0,8,2021
2021-08-05,NYC,0.0,8,2021
2021-08-06,NYC,0.0,8,2021
2021-08-07,NYC,0.0,8,2021
2021-08-08,NYC,0.56,8,2021
2021-08-09,NYC,0.19,8,2021
2021-08-10,NYC,0.16,8,2021
2021-08-11,NYC,0.06,8,2021
2021-08-12,NYC,0.23,8,2021
2021-08-13,NYC,0.0,8,2021
2021-08-14,NYC,0.0,8,2021
2021-08-15,NYC,0.01,8,2021
2021-08-16,NYC,0.0,8,2021
2021-08-17,NYC,0.0,8,2021
2021-08-18,NYC,0.0,8,2021
2021-08-19,NYC,,8,2021
2021-08-20,NYC,0.0,8,2021
2021-08-21,NYC,0.0,8,2021
2021-08-22,NYC,5.35,8,2021
2021-08-23,NYC,2.95,8,2021
2021-08-24,NYC,0.0,8,2021
2021-08-25,NYC,0.0,8,2021
2021-08-26,NYC,0.0,8,2021
2021-08-27,NYC,0.0,8,2021
2021-08-28,NYC,0.89,8,2021
2021-08-29,NYC,0.1,8,2021
2021-08-30,NYC,0.02,8,2021
2021-08-31,NYC,0.0,8,2021
2021-09-01,NYC,7.13,9,2021
2021-09-02,NYC,5.24,9,2021
2021-09-03,NYC,0.0,9,2021
2021-09-04,NYC,0.0,9,2021
2021-09-05,NYC,0.06,9,2021
2021-09-06,NYC,0.06,9,2021
2021-09-07,NYC,0.0,9,2021
2021-09-08,NYC,0.0,9,2021
2021-09-09,NYC,0.26,9,2021
2021-09-10,NYC,0.28,9,2021
2021-09-11,NYC,0.0,9,2021
2021-09-12,NYC,0.0,9,2021
2021-09-13,NYC,0.0,9,2021
2021-09-14,NYC,0.09,9,2021
2021-09-15,NYC,0.0,9,2021
2021-09-16,NYC,0.0,9,2021
2021-09-17,NYC,0.0,9,2021
2021-09-18,NYC,0.0,9,2021
2021-09-19,NYC,0.0,9,2021
2021-09-20,NYC,0.0,9,2021
2021-09-21,NYC,0.03,9,2021
2021-09-22,NYC,0.04,9,2021
2021-09-23,NYC,0.0,9,2021
2021-09-24,NYC,2.38,9,2021
2021-09-25,NYC,0.01,9,2021
2021-09-26,NYC,0.0,9,2021
2021-09-27,NYC,0.0,9,2021
2021-09-28,NYC,0.0,9,2021
2021-09-29,NYC,0.13,9,2021
2021-09-30,NYC,0.0,9,2021
2021-10-01,NYC,0.0,10,2021
2021-10-02,NYC,0.0,10,2021
2021-10-03,NYC,0.0,10,2021
2021-10-04,NYC,0.02,10,2021
2021-10-05,NYC,0.0,10,2021
2021-10-06,NYC,0.0,10,2021
2021-10-07,NYC,0.0,10,2021
2021-10-08,NYC,0.0,10,2021
2021-10-09,NYC,0.0,10,2021
2021-10-10,NYC,0.0,10,2021
2021-10-11,NYC,0.18,10,2021
2021-10-12,NYC,0.0,10,2021
2021-10-13,NYC,0.0,10,2021
2021-10-14,NYC,0.01,10,2021
2021-10-15,NYC,0.0,10,2021
2021-10-16,NYC,0.0,10,2021
2021-10-17,NYC,0.15,10,2021
2021-10-18,NYC,0.05,10,2021
2021-10-19,NYC,0.0,10,2021
2021-10-20,NYC,0.0,10,2021
2021-10-21,NYC,0.0,10,2021
2021-10-22,NYC,0.0,10,2021
2021-10-23,NYC,0.0,10,2021
2021-10-24,NYC,0.0,10,2021
2021-10-25,NYC,0.24,10,2021
2021-10-26,NYC,1.77,10,2021
2021-10-27,NYC,3.5,10,2021
2021-10-28,NYC,0.0,10,2021
2021-10-29,NYC,0.0,10,2021
2021-10-30,NYC,0.03,10,2021
2021-10-31,NYC,0.19,10,2021
2021-11-01,NYC,0.0,11,2021
2021-11-02,NYC,0.0,11,2021
2021-11-03,NYC,0.0,11,2021
2021-11-04,NYC,0.0,11,2021
2021-11-05,NYC,0.0,11,2021
2021-11-06,NYC,0.0,11,2021
2021-11-07,NYC,0.0,11,2021
2021-11-08,NYC,0.0,11,2021
2021-11-09,NYC,0.0,11,2021
2021-11-10,NYC,0.0,11,2021
2021-11-11,NYC,0.0,11,2021
2021-11-12,NYC,0.05,11,2021
2021-11-13,NYC,0.28,11,2021
2021-11-14,NYC,0.17,11,2021
2021-11-15,NYC,0.05,11,2021
2021-11-16,NYC,0.0,11,2021
2021-11-17,NYC,0.0,11,2021
2021-11-18,NYC,0.0,11,2021
2021-11-19,NYC,0.06,11,2021
2021-11-20,NYC,0.0,11,2021
2021-11-21,NYC,0.0,11,2021
2021-11-22,NYC,0.11,11,2021
2021-11-23,NYC,0.03,11,2021
2021-11-24,NYC,0.0,11,2021
2021-11-25,NYC,0.0,11,2021
2021-11-26,NYC,0.19,11,2021
2021-11-27,NYC,0.01,11,2021
2021-11-28,NYC,0.0,11,2021
2021-11-29,NYC,0.0,11,2021
